	child	parent
Cell_123	131.0	54.0
Cell_124	132.0	37.0
Cell_125	133.0	96.0
Cell_126	135.0	7.0
Cell_127	137.0	99.0
Cell_128	138.0	26.0
Cell_129	139.0	3.0
Cell_130	140.0	102.0
Cell_131	141.0	60.0
Cell_132	143.0	79.0
Cell_133	144.0	16.0
Cell_134	146.0	9.0
Cell_135	147.0	82.0
Cell_136	148.0	44.0
Cell_137	150.0	5.0
Cell_138	151.0	84.0
Cell_139	152.0	111.0
Cell_140	154.0	10.0
Cell_141	155.0	68.0
Cell_142	156.0	87.0
Cell_143	157.0	115.0
Cell_144	158.0	4.0
Cell_145	159.0	88.0
Cell_146	160.0	48.0
Cell_147	161.0	31.0
Cell_148	162.0	116.0
Cell_149	163.0	89.0
Cell_150	164.0	119.0
Cell_151	165.0	32.0
Cell_152	166.0	14.0
Cell_153	167.0	72.0
Cell_154	168.0	33.0
Cell_155	169.0	122.0
Cell_156	170.0	51.0
Cell_157	171.0	23.0
Cell_158	172.0	124.0
Cell_159	173.0	93.0
Cell_160	174.0	125.0
Cell_161	175.0	94.0
Cell_162	176.0	1.0
Cell_163	177.0	35.0
Cell_164	178.0	128.0
Cell_165	179.0	24.0
Cell_166	180.0	130.0
Cell_167	181.0	132.0
Cell_168	182.0	96.0
Cell_169	183.0	75.0
Cell_170	184.0	38.0
Cell_171	185.0	19.0
Cell_172	186.0	137.0
Cell_173	188.0	139.0
Cell_174	189.0	102.0
Cell_175	190.0	140.0
Cell_176	191.0	28.0
Cell_177	192.0	60.0
Cell_178	193.0	104.0
Cell_179	194.0	105.0
Cell_180	195.0	43.0
Cell_181	196.0	16.0
Cell_182	197.0	13.0
Cell_183	198.0	149.0
Cell_184	200.0	65.0
Cell_185	201.0	152.0
Cell_186	202.0	67.0
Cell_187	203.0	156.0
Cell_188	204.0	157.0
Cell_189	205.0	159.0
Cell_190	206.0	161.0
Cell_191	207.0	162.0
Cell_192	208.0	17.0
Cell_193	209.0	90.0
Cell_194	210.0	14.0
Cell_195	211.0	169.0
Cell_196	212.0	51.0
Cell_197	214.0	94.0
Cell_198	215.0	176.0
Cell_199	216.0	127.0
Cell_200	217.0	53.0
Cell_201	218.0	128.0
Cell_202	219.0	129.0
Cell_203	220.0	180.0
Cell_204	221.0	12.0
Cell_205	222.0	54.0
Cell_206	223.0	181.0
Cell_207	224.0	55.0
Cell_208	225.0	56.0
Cell_209	226.0	133.0
Cell_210	227.0	183.0
Cell_211	228.0	135.0
Cell_212	229.0	39.0
Cell_213	230.0	186.0
Cell_214	231.0	138.0
Cell_215	232.0	20.0
Cell_216	233.0	101.0
Cell_217	234.0	40.0
Cell_218	235.0	102.0
Cell_219	236.0	189.0
Cell_220	237.0	28.0
Cell_221	238.0	21.0
Cell_222	239.0	60.0
Cell_223	240.0	141.0
Cell_224	241.0	29.0
Cell_225	242.0	79.0
Cell_226	243.0	143.0
Cell_227	244.0	196.0
Cell_228	245.0	13.0
Cell_229	248.0	83.0
Cell_230	249.0	65.0
Cell_231	250.0	200.0
Cell_232	251.0	84.0
Cell_233	252.0	66.0
Cell_234	253.0	46.0
Cell_235	254.0	111.0
Cell_236	255.0	67.0
Cell_237	256.0	154.0
Cell_238	257.0	86.0
Cell_239	258.0	47.0
Cell_240	259.0	163.0
Cell_241	260.0	71.0
Cell_242	261.0	14.0
Cell_243	262.0	72.0
Cell_244	263.0	167.0
Cell_245	264.0	121.0
Cell_246	265.0	122.0
Cell_247	266.0	124.0
Cell_248	267.0	175.0
Cell_249	268.0	127.0
Cell_250	269.0	128.0
Cell_251	270.0	218.0
Cell_252	271.0	178.0
Cell_253	272.0	24.0
Cell_254	273.0	180.0
Cell_255	274.0	12.0
Cell_256	275.0	221.0
Cell_257	276.0	54.0
Cell_258	277.0	181.0
Cell_259	278.0	226.0
Cell_260	279.0	184.0
Cell_261	280.0	229.0
Cell_262	281.0	99.0
Cell_263	282.0	137.0
Cell_264	283.0	230.0
Cell_265	284.0	100.0
Cell_266	285.0	3.0
Cell_267	286.0	139.0
Cell_268	287.0	188.0
Cell_269	288.0	101.0
Cell_270	289.0	40.0
Cell_271	290.0	234.0
Cell_272	291.0	189.0
Cell_273	292.0	236.0
Cell_274	293.0	140.0
Cell_275	294.0	27.0
Cell_276	295.0	0.0
Cell_277	296.0	191.0
Cell_278	297.0	103.0
Cell_279	298.0	238.0
Cell_280	299.0	192.0
Cell_281	300.0	104.0
Cell_282	301.0	241.0
Cell_283	302.0	196.0
Cell_284	303.0	144.0
Cell_285	304.0	145.0
Cell_286	305.0	13.0
Cell_287	306.0	245.0
Cell_288	307.0	197.0
Cell_289	308.0	246.0
Cell_290	309.0	108.0
Cell_291	310.0	198.0
Cell_292	311.0	64.0
Cell_293	312.0	247.0
Cell_294	313.0	199.0
Cell_295	314.0	249.0
Cell_296	315.0	111.0
Cell_297	316.0	67.0
Cell_298	317.0	202.0
Cell_299	318.0	85.0
Cell_300	319.0	113.0
Cell_301	320.0	257.0
Cell_302	321.0	114.0
Cell_303	322.0	68.0
Cell_304	323.0	156.0
Cell_305	324.0	203.0
Cell_306	325.0	204.0
Cell_307	326.0	205.0
Cell_308	327.0	48.0
Cell_309	328.0	160.0
Cell_310	329.0	163.0
Cell_311	330.0	259.0
Cell_312	331.0	208.0
Cell_313	332.0	69.0
Cell_314	333.0	70.0
Cell_315	334.0	32.0
Cell_316	335.0	165.0
Cell_317	336.0	14.0
Cell_318	337.0	166.0
Cell_319	338.0	262.0
Cell_320	339.0	264.0
Cell_321	340.0	265.0
Cell_322	341.0	169.0
Cell_323	342.0	51.0
Cell_324	344.0	171.0
Cell_325	345.0	124.0
Cell_326	346.0	174.0
Cell_327	347.0	214.0
Cell_328	348.0	268.0
Cell_329	349.0	271.0
Cell_330	350.0	219.0
Cell_331	351.0	179.0
Cell_332	352.0	73.0
Cell_333	353.0	221.0
Cell_334	354.0	54.0
Cell_335	355.0	37.0
Cell_336	356.0	181.0
Cell_337	357.0	225.0
Cell_338	358.0	133.0
Cell_339	360.0	278.0
Cell_340	361.0	75.0
Cell_341	362.0	184.0
Cell_342	363.0	134.0
Cell_343	364.0	97.0
Cell_344	365.0	280.0
Cell_345	366.0	98.0
Cell_346	367.0	137.0
Cell_347	368.0	282.0
Cell_348	369.0	26.0
Cell_349	370.0	3.0
Cell_350	371.0	287.0
Cell_351	372.0	20.0
Cell_352	373.0	289.0
Cell_353	374.0	234.0
Cell_354	375.0	102.0
Cell_355	376.0	292.0
Cell_356	377.0	293.0
Cell_357	378.0	27.0
Cell_358	379.0	294.0
Cell_359	380.0	58.0
Cell_360	381.0	296.0
Cell_361	382.0	103.0
Cell_362	383.0	29.0
Cell_363	384.0	194.0
Cell_364	385.0	143.0
Cell_365	386.0	243.0
Cell_366	387.0	302.0
Cell_367	388.0	305.0
Cell_368	389.0	245.0
Cell_369	390.0	307.0
Cell_370	391.0	308.0
Cell_371	392.0	309.0
Cell_372	393.0	313.0
Cell_373	394.0	314.0
Cell_374	395.0	254.0
Cell_375	397.0	317.0
Cell_376	398.0	153.0
Cell_377	399.0	10.0
Cell_378	400.0	113.0
Cell_379	401.0	320.0
Cell_380	402.0	258.0
Cell_381	403.0	203.0
Cell_382	404.0	115.0
Cell_383	405.0	157.0
Cell_384	406.0	205.0
Cell_385	407.0	326.0
Cell_386	408.0	328.0
Cell_387	409.0	330.0
Cell_388	410.0	69.0
Cell_389	411.0	32.0
Cell_390	412.0	335.0
Cell_391	413.0	210.0
Cell_392	414.0	262.0
Cell_393	415.0	263.0
Cell_394	416.0	121.0
Cell_395	417.0	122.0
Cell_396	419.0	344.0
Cell_397	420.0	172.0
Cell_398	422.0	126.0
Cell_399	423.0	94.0
Cell_400	424.0	267.0
Cell_401	425.0	176.0
Cell_402	426.0	215.0
Cell_403	427.0	127.0
Cell_404	428.0	53.0
Cell_405	429.0	269.0
Cell_406	430.0	270.0
Cell_407	431.0	350.0
Cell_408	432.0	73.0
Cell_409	433.0	273.0
Cell_410	434.0	220.0
Cell_411	435.0	36.0
Cell_412	436.0	274.0
Cell_413	437.0	353.0
Cell_414	438.0	275.0
Cell_415	439.0	354.0
Cell_416	440.0	276.0
Cell_417	441.0	222.0
Cell_418	443.0	181.0
Cell_419	444.0	360.0
Cell_420	445.0	362.0
Cell_421	446.0	39.0
Cell_422	447.0	281.0
Cell_423	448.0	367.0
Cell_424	449.0	186.0
Cell_425	450.0	230.0
Cell_426	451.0	26.0
Cell_427	452.0	138.0
Cell_428	453.0	370.0
Cell_429	454.0	187.0
Cell_430	455.0	288.0
Cell_431	456.0	234.0
Cell_432	458.0	235.0
Cell_433	459.0	291.0
Cell_434	460.0	292.0
Cell_435	461.0	15.0
Cell_436	462.0	378.0
Cell_437	463.0	294.0
Cell_438	464.0	379.0
Cell_439	465.0	0.0
Cell_440	466.0	380.0
Cell_441	467.0	103.0
Cell_442	468.0	297.0
Cell_443	469.0	192.0
Cell_444	470.0	299.0
Cell_445	471.0	77.0
Cell_446	473.0	193.0
Cell_447	474.0	29.0
Cell_448	475.0	62.0
Cell_449	477.0	195.0
Cell_450	478.0	242.0
Cell_451	479.0	385.0
Cell_452	480.0	386.0
Cell_453	481.0	303.0
Cell_454	482.0	304.0
Cell_455	483.0	389.0
Cell_456	484.0	306.0
Cell_457	485.0	307.0
Cell_458	486.0	391.0
Cell_459	487.0	108.0
Cell_460	488.0	309.0
Cell_461	489.0	150.0
Cell_462	490.0	45.0
Cell_463	491.0	199.0
Cell_464	492.0	393.0
Cell_465	493.0	251.0
Cell_466	494.0	253.0
Cell_467	495.0	395.0
Cell_468	496.0	396.0
Cell_469	497.0	316.0
Cell_470	498.0	202.0
Cell_471	499.0	318.0
Cell_472	500.0	47.0
Cell_473	501.0	402.0
Cell_474	503.0	324.0
Cell_475	504.0	115.0
Cell_476	505.0	404.0
Cell_477	506.0	405.0
Cell_478	507.0	206.0
Cell_479	508.0	162.0
Cell_480	509.0	259.0
Cell_481	510.0	117.0
Cell_482	511.0	410.0
Cell_483	512.0	119.0
Cell_484	513.0	32.0
Cell_485	514.0	334.0
Cell_486	515.0	165.0
Cell_487	516.0	335.0
Cell_488	517.0	412.0
Cell_489	518.0	336.0
Cell_490	519.0	210.0
Cell_491	520.0	413.0
Cell_492	521.0	167.0
Cell_493	522.0	264.0
Cell_494	523.0	212.0
Cell_495	524.0	171.0
Cell_496	525.0	344.0
Cell_497	526.0	419.0
Cell_498	527.0	345.0
Cell_499	528.0	172.0
Cell_500	529.0	346.0
Cell_501	530.0	422.0
Cell_502	531.0	423.0
Cell_503	532.0	214.0
Cell_504	533.0	267.0
Cell_505	534.0	348.0
Cell_506	535.0	53.0
Cell_507	536.0	219.0
Cell_508	537.0	352.0
Cell_509	538.0	12.0
Cell_510	539.0	221.0
Cell_511	540.0	437.0
Cell_512	541.0	275.0
Cell_513	542.0	438.0
Cell_514	543.0	54.0
Cell_515	544.0	222.0
Cell_516	545.0	442.0
Cell_517	546.0	132.0
Cell_518	547.0	443.0
Cell_519	548.0	133.0
Cell_520	549.0	359.0
Cell_521	550.0	360.0
Cell_522	552.0	99.0
Cell_523	553.0	281.0
Cell_524	554.0	368.0
Cell_525	555.0	186.0
Cell_526	556.0	230.0
Cell_527	557.0	450.0
Cell_528	558.0	452.0
Cell_529	559.0	100.0
Cell_530	560.0	187.0
Cell_531	561.0	455.0
Cell_532	562.0	233.0
Cell_533	563.0	289.0
Cell_534	564.0	373.0
Cell_535	565.0	458.0
Cell_536	566.0	459.0
Cell_537	567.0	27.0
Cell_538	568.0	379.0
Cell_539	569.0	466.0
Cell_540	570.0	297.0
Cell_541	571.0	59.0
Cell_542	572.0	60.0
Cell_543	573.0	141.0
Cell_544	574.0	240.0
Cell_545	575.0	472.0
Cell_546	576.0	142.0
Cell_547	577.0	479.0
Cell_548	578.0	244.0
Cell_549	579.0	63.0
Cell_550	580.0	80.0
Cell_551	581.0	388.0
Cell_552	582.0	389.0
Cell_553	583.0	483.0
Cell_554	584.0	306.0
Cell_555	585.0	307.0
Cell_556	586.0	44.0
Cell_557	587.0	246.0
Cell_558	588.0	308.0
Cell_559	589.0	486.0
Cell_560	590.0	309.0
Cell_561	592.0	109.0
Cell_562	593.0	83.0
Cell_563	594.0	313.0
Cell_564	595.0	254.0
Cell_565	596.0	318.0
Cell_566	597.0	319.0
Cell_567	598.0	320.0
Cell_568	599.0	160.0
Cell_569	600.0	408.0
Cell_570	601.0	206.0
Cell_571	602.0	329.0
Cell_572	603.0	164.0
Cell_573	604.0	32.0
Cell_574	605.0	165.0
Cell_575	606.0	518.0
Cell_576	607.0	413.0
Cell_577	608.0	415.0
Cell_578	609.0	264.0
Cell_579	610.0	339.0
Cell_580	611.0	341.0
Cell_581	612.0	212.0
Cell_582	613.0	344.0
Cell_583	614.0	525.0
Cell_584	615.0	419.0
Cell_585	616.0	526.0
Cell_586	617.0	124.0
Cell_587	618.0	345.0
Cell_588	619.0	527.0
Cell_589	620.0	172.0
Cell_590	621.0	174.0
Cell_591	622.0	529.0
Cell_592	623.0	421.0
Cell_593	624.0	94.0
Cell_594	625.0	531.0
Cell_595	626.0	347.0
Cell_596	627.0	215.0
Cell_597	628.0	535.0
Cell_598	629.0	129.0
Cell_599	630.0	536.0
Cell_600	632.0	351.0
Cell_601	633.0	273.0
Cell_602	634.0	435.0
Cell_603	635.0	538.0
Cell_604	636.0	353.0
Cell_605	637.0	437.0
Cell_606	638.0	540.0
Cell_607	639.0	542.0
Cell_608	640.0	439.0
Cell_609	641.0	440.0
Cell_610	642.0	222.0
Cell_611	643.0	356.0
Cell_612	644.0	223.0
Cell_613	645.0	97.0
Cell_614	646.0	229.0
Cell_615	647.0	280.0
Cell_616	648.0	185.0
Cell_617	649.0	552.0
Cell_618	650.0	448.0
Cell_619	651.0	449.0
Cell_620	652.0	450.0
Cell_621	653.0	283.0
Cell_622	654.0	76.0
Cell_623	655.0	26.0
Cell_624	656.0	369.0
Cell_625	657.0	231.0
Cell_626	658.0	284.0
Cell_627	659.0	3.0
Cell_628	660.0	285.0
Cell_629	661.0	232.0
Cell_630	662.0	288.0
Cell_631	663.0	455.0
Cell_632	664.0	40.0
Cell_633	665.0	563.0
Cell_634	666.0	373.0
Cell_635	667.0	290.0
Cell_636	668.0	291.0
Cell_637	669.0	566.0
Cell_638	670.0	236.0
Cell_639	671.0	376.0
Cell_640	673.0	190.0
Cell_641	674.0	15.0
Cell_642	675.0	462.0
Cell_643	676.0	294.0
Cell_644	677.0	466.0
Cell_645	678.0	191.0
Cell_646	679.0	381.0
Cell_647	680.0	468.0
Cell_648	681.0	59.0
Cell_649	682.0	574.0
Cell_650	683.0	575.0
Cell_651	684.0	384.0
Cell_652	685.0	478.0
Cell_653	686.0	386.0
Cell_654	687.0	387.0
Cell_655	688.0	482.0
Cell_656	689.0	388.0
Cell_657	690.0	583.0
Cell_658	691.0	307.0
Cell_659	692.0	585.0
Cell_660	693.0	586.0
Cell_661	694.0	391.0
Cell_662	695.0	148.0
Cell_663	696.0	590.0
Cell_664	697.0	488.0
Cell_665	698.0	592.0
Cell_666	699.0	199.0
Cell_667	700.0	594.0
Cell_668	701.0	595.0
Cell_669	703.0	202.0
Cell_670	704.0	498.0
Cell_671	705.0	317.0
Cell_672	706.0	397.0
Cell_673	707.0	85.0
Cell_674	708.0	499.0
Cell_675	709.0	402.0
Cell_676	710.0	504.0
Cell_677	711.0	505.0
Cell_678	712.0	204.0
Cell_679	713.0	325.0
Cell_680	714.0	601.0
Cell_681	715.0	89.0
Cell_682	716.0	117.0
Cell_683	717.0	510.0
Cell_684	718.0	410.0
Cell_685	719.0	32.0
Cell_686	720.0	334.0
Cell_687	721.0	514.0
Cell_688	722.0	516.0
Cell_689	724.0	607.0
Cell_690	725.0	121.0
Cell_691	726.0	264.0
Cell_692	727.0	609.0
Cell_693	729.0	612.0
Cell_694	730.0	170.0
Cell_695	731.0	123.0
Cell_696	732.0	418.0
Cell_697	733.0	171.0
Cell_698	734.0	614.0
Cell_699	735.0	615.0
Cell_700	736.0	616.0
Cell_701	737.0	529.0
Cell_702	738.0	623.0
Cell_703	739.0	126.0
Cell_704	740.0	530.0
Cell_705	741.0	531.0
Cell_706	742.0	214.0
Cell_707	743.0	175.0
Cell_708	744.0	424.0
Cell_709	745.0	426.0
Cell_710	746.0	348.0
Cell_711	747.0	53.0
Cell_712	748.0	429.0
Cell_713	749.0	430.0
Cell_714	750.0	178.0
Cell_715	751.0	219.0
Cell_716	752.0	631.0
Cell_717	753.0	73.0
Cell_718	754.0	537.0
Cell_719	755.0	130.0
Cell_720	756.0	635.0
Cell_721	757.0	636.0
Cell_722	758.0	637.0
Cell_723	759.0	540.0
Cell_724	760.0	639.0
Cell_725	761.0	440.0
Cell_726	762.0	222.0
Cell_727	763.0	442.0
Cell_728	764.0	277.0
Cell_729	765.0	644.0
Cell_730	766.0	224.0
Cell_731	767.0	18.0
Cell_732	768.0	74.0
Cell_733	769.0	361.0
Cell_734	770.0	363.0
Cell_735	771.0	647.0
Cell_736	772.0	365.0
Cell_737	773.0	99.0
Cell_738	775.0	650.0
Cell_739	776.0	282.0
Cell_740	777.0	186.0
Cell_741	778.0	555.0
Cell_742	779.0	652.0
Cell_743	780.0	283.0
Cell_744	781.0	653.0
Cell_745	782.0	559.0
Cell_746	783.0	232.0
Cell_747	784.0	662.0
Cell_748	785.0	233.0
Cell_749	786.0	562.0
Cell_750	787.0	665.0
Cell_751	788.0	373.0
Cell_752	790.0	672.0
Cell_753	791.0	567.0
Cell_754	792.0	462.0
Cell_755	793.0	463.0
Cell_756	794.0	379.0
Cell_757	796.0	297.0
Cell_758	797.0	468.0
Cell_759	798.0	680.0
Cell_760	799.0	298.0
Cell_761	800.0	472.0
Cell_762	801.0	383.0
Cell_763	802.0	241.0
Cell_764	803.0	194.0
Cell_765	804.0	684.0
Cell_766	805.0	142.0
Cell_767	806.0	478.0
Cell_768	807.0	685.0
Cell_769	808.0	243.0
Cell_770	809.0	389.0
Cell_771	812.0	308.0
Cell_772	813.0	486.0
Cell_773	814.0	589.0
Cell_774	815.0	199.0
Cell_775	816.0	699.0
Cell_776	817.0	252.0
Cell_777	818.0	316.0
Cell_778	819.0	703.0
Cell_779	820.0	498.0
Cell_780	821.0	704.0
Cell_781	822.0	705.0
Cell_782	823.0	398.0
Cell_783	824.0	85.0
Cell_784	825.0	708.0
Cell_785	826.0	258.0
Cell_786	827.0	505.0
Cell_787	828.0	506.0
Cell_788	829.0	713.0
Cell_789	830.0	601.0
Cell_790	831.0	117.0
Cell_791	832.0	716.0
Cell_792	833.0	510.0
Cell_793	834.0	512.0
Cell_794	835.0	723.0
Cell_795	836.0	607.0
Cell_796	837.0	724.0
Cell_797	838.0	520.0
Cell_798	839.0	414.0
Cell_799	840.0	416.0
Cell_800	841.0	264.0
Cell_801	842.0	609.0
Cell_802	843.0	522.0
Cell_803	844.0	728.0
Cell_804	846.0	729.0
Cell_805	847.0	732.0
Cell_806	848.0	524.0
Cell_807	849.0	613.0
Cell_808	850.0	736.0
Cell_809	851.0	618.0
Cell_810	852.0	619.0
Cell_811	853.0	529.0
Cell_812	854.0	422.0
Cell_813	855.0	94.0
Cell_814	856.0	624.0
Cell_815	857.0	175.0
Cell_816	858.0	533.0
Cell_817	859.0	424.0
Cell_818	860.0	744.0
Cell_819	861.0	177.0
Cell_820	862.0	216.0
Cell_821	863.0	428.0
Cell_822	864.0	217.0
Cell_823	865.0	749.0
Cell_824	866.0	178.0
Cell_825	867.0	219.0
Cell_826	868.0	350.0
Cell_827	869.0	431.0
Cell_828	870.0	631.0
Cell_829	872.0	754.0
Cell_830	873.0	130.0
Cell_831	874.0	755.0
Cell_832	875.0	433.0
Cell_833	876.0	36.0
Cell_834	877.0	635.0
Cell_835	878.0	353.0
Cell_836	879.0	757.0
Cell_837	880.0	540.0
Cell_838	881.0	759.0
Cell_839	882.0	54.0
Cell_840	883.0	276.0
Cell_841	884.0	642.0
Cell_842	885.0	544.0
Cell_843	886.0	547.0
Cell_844	887.0	765.0
Cell_845	889.0	74.0
Cell_846	890.0	359.0
Cell_847	892.0	773.0
Cell_848	893.0	650.0
Cell_849	894.0	282.0
Cell_850	895.0	368.0
Cell_851	896.0	777.0
Cell_852	897.0	555.0
Cell_853	898.0	449.0
Cell_854	899.0	230.0
Cell_855	900.0	779.0
Cell_856	901.0	557.0
Cell_857	902.0	283.0
Cell_858	903.0	780.0
Cell_859	904.0	653.0
Cell_860	905.0	656.0
Cell_861	906.0	559.0
Cell_862	907.0	782.0
Cell_863	908.0	560.0
Cell_864	909.0	785.0
Cell_865	910.0	786.0
Cell_866	911.0	373.0
Cell_867	912.0	565.0
Cell_868	913.0	459.0
Cell_869	914.0	566.0
Cell_870	915.0	292.0
Cell_871	916.0	673.0
Cell_872	917.0	791.0
Cell_873	918.0	378.0
Cell_874	919.0	464.0
Cell_875	920.0	677.0
Cell_876	921.0	191.0
Cell_877	922.0	468.0
Cell_878	923.0	798.0
Cell_879	924.0	239.0
Cell_880	925.0	299.0
Cell_881	926.0	574.0
Cell_882	927.0	682.0
Cell_883	928.0	77.0
Cell_884	929.0	800.0
Cell_885	930.0	473.0
Cell_886	931.0	29.0
Cell_887	932.0	474.0
Cell_888	933.0	241.0
Cell_889	934.0	78.0
Cell_890	935.0	576.0
Cell_891	936.0	806.0
Cell_892	937.0	577.0
Cell_893	938.0	387.0
Cell_894	939.0	80.0
Cell_895	940.0	580.0
Cell_896	941.0	583.0
Cell_897	942.0	690.0
Cell_898	943.0	307.0
Cell_899	944.0	585.0
Cell_900	945.0	485.0
Cell_901	946.0	586.0
Cell_902	947.0	587.0
Cell_903	948.0	694.0
Cell_904	949.0	813.0
Cell_905	950.0	148.0
Cell_906	951.0	488.0
Cell_907	952.0	392.0
Cell_908	953.0	700.0
Cell_909	954.0	252.0
Cell_910	955.0	817.0
Cell_911	956.0	495.0
Cell_912	957.0	202.0
Cell_913	958.0	498.0
Cell_914	959.0	317.0
Cell_915	960.0	705.0
Cell_916	961.0	153.0
Cell_917	962.0	398.0
Cell_918	963.0	85.0
Cell_919	964.0	824.0
Cell_920	965.0	500.0
Cell_921	966.0	826.0
Cell_922	967.0	503.0
Cell_923	968.0	157.0
Cell_924	969.0	204.0
Cell_925	970.0	599.0
Cell_926	971.0	49.0
Cell_927	972.0	831.0
Cell_928	973.0	511.0
Cell_929	974.0	834.0
Cell_930	975.0	334.0
Cell_931	976.0	720.0
Cell_932	978.0	516.0
Cell_933	979.0	412.0
Cell_934	981.0	841.0
Cell_935	982.0	609.0
Cell_936	983.0	341.0
Cell_937	984.0	611.0
Cell_938	985.0	844.0
Cell_939	987.0	730.0
Cell_940	988.0	848.0
Cell_941	989.0	419.0
Cell_942	990.0	615.0
Cell_943	992.0	853.0
Cell_944	993.0	422.0
Cell_945	994.0	854.0
Cell_946	995.0	740.0
Cell_947	996.0	856.0
Cell_948	997.0	423.0
Cell_949	998.0	741.0
Cell_950	999.0	532.0
Cell_951	1000.0	533.0
Cell_952	1001.0	424.0
Cell_953	1002.0	859.0
Cell_954	1003.0	744.0
Cell_955	1004.0	860.0
Cell_956	1005.0	627.0
Cell_957	1006.0	534.0
Cell_958	1007.0	862.0
Cell_959	1008.0	864.0
Cell_960	1009.0	750.0
Cell_961	1010.0	350.0
Cell_962	1011.0	869.0
Cell_963	1012.0	631.0
Cell_964	1013.0	432.0
Cell_965	1014.0	871.0
Cell_966	1016.0	872.0
Cell_967	1017.0	874.0
Cell_968	1018.0	433.0
Cell_969	1019.0	876.0
Cell_970	1020.0	877.0
Cell_971	1021.0	879.0
Cell_972	1022.0	758.0
Cell_973	1023.0	881.0
Cell_974	1024.0	542.0
Cell_975	1025.0	639.0
Cell_976	1026.0	439.0
Cell_977	1027.0	762.0
Cell_978	1028.0	884.0
Cell_979	1029.0	886.0
Cell_980	1030.0	766.0
Cell_981	1031.0	888.0
Cell_982	1032.0	889.0
Cell_983	1033.0	360.0
Cell_984	1034.0	444.0
Cell_985	1035.0	366.0
Cell_986	1036.0	892.0
Cell_987	1037.0	553.0
Cell_988	1038.0	448.0
Cell_989	1039.0	893.0
Cell_990	1041.0	554.0
Cell_991	1042.0	898.0
Cell_992	1043.0	899.0
Cell_993	1044.0	556.0
Cell_994	1045.0	557.0
