	x	y	cluster
Cell_76	65.0	46.0	4.0
Cell_77	63.0	46.0	4.0
Cell_78	65.0	43.0	4.0
Cell_79	64.0	46.0	4.0
Cell_80	67.0	44.0	4.0
Cell_81	66.0	48.0	4.0
Cell_82	67.0	45.0	4.0
Cell_83	67.0	46.0	4.0
Cell_84	67.0	43.0	4.0
Cell_85	69.0	43.0	4.0
Cell_86	73.0	43.0	4.0
Cell_87	69.0	42.0	4.0
Cell_88	71.0	41.0	4.0
Cell_89	70.0	41.0	4.0
Cell_90	68.0	41.0	4.0
Cell_91	69.0	41.0	4.0
Cell_92	77.0	42.0	4.0
Cell_93	77.0	37.0	4.0
Cell_94	78.0	44.0	4.0
Cell_95	78.0	42.0	4.0
Cell_96	80.0	42.0	4.0
Cell_97	80.0	40.0	4.0
Cell_98	75.0	46.0	4.0
Cell_99	72.0	40.0	4.0
Cell_100	72.0	36.0	4.0
Cell_101	77.0	46.0	4.0
Cell_102	77.0	48.0	4.0
Cell_103	78.0	46.0	4.0
Cell_104	79.0	48.0	4.0
Cell_105	81.0	48.0	4.0
Cell_106	80.0	46.0	4.0
Cell_107	75.0	44.0	4.0
Cell_108	77.0	44.0	4.0
Cell_109	75.0	40.0	4.0
Cell_110	76.0	44.0	4.0
Cell_111	76.0	42.0	4.0
Cell_112	76.0	40.0	4.0
Cell_113	77.0	40.0	4.0
Cell_114	71.0	46.0	4.0
Cell_115	70.0	44.0	4.0
Cell_116	72.0	44.0	4.0
Cell_117	70.0	42.0	4.0
Cell_118	73.0	42.0	4.0
Cell_119	73.0	40.0	4.0
Cell_120	70.0	46.0	4.0
Cell_121	70.0	48.0	4.0
Cell_122	76.0	46.0	4.0
Cell_123	76.0	45.0	4.0
Cell_124	76.0	41.0	4.0
Cell_125	78.0	39.0	4.0
Cell_126	76.0	43.0	4.0
Cell_127	79.0	43.0	4.0
Cell_128	79.0	42.0	4.0
Cell_129	81.0	42.0	4.0
Cell_130	83.0	43.0	4.0
Cell_131	86.0	43.0	4.0
Cell_132	56.0	52.0	1.0
Cell_133	55.0	52.0	1.0
Cell_134	54.0	53.0	1.0
Cell_135	53.0	48.0	1.0
Cell_136	55.0	44.0	1.0
Cell_137	55.0	46.0	1.0
Cell_138	56.0	46.0	1.0
Cell_139	52.0	45.0	1.0
Cell_140	56.0	43.0	1.0
Cell_141	57.0	43.0	1.0
Cell_142	56.0	41.0	1.0
Cell_143	56.0	40.0	1.0
Cell_144	57.0	44.0	1.0
Cell_145	57.0	42.0	1.0
Cell_146	56.0	42.0	1.0
Cell_147	56.0	45.0	1.0
Cell_148	57.0	45.0	1.0
Cell_149	53.0	45.0	1.0
Cell_150	53.0	43.0	1.0
Cell_151	53.0	46.0	1.0
Cell_152	59.0	46.0	1.0
Cell_153	57.0	46.0	1.0
Cell_154	53.0	42.0	1.0
Cell_155	55.0	42.0	1.0
Cell_156	58.0	42.0	1.0
Cell_157	58.0	37.0	1.0
Cell_158	57.0	40.0	1.0
Cell_159	58.0	39.0	1.0
Cell_160	58.0	38.0	1.0
Cell_161	52.0	42.0	1.0
Cell_162	52.0	38.0	1.0
Cell_163	53.0	47.0	1.0
Cell_164	55.0	45.0	1.0
Cell_165	63.0	45.0	1.0
Cell_166	64.0	47.0	1.0
Cell_167	69.0	47.0	1.0
Cell_168	69.0	46.0	1.0
Cell_169	71.0	44.0	1.0
Cell_170	71.0	42.0	1.0
Cell_171	68.0	47.0	1.0
Cell_172	67.0	47.0	1.0
Cell_173	66.0	47.0	1.0
Cell_174	71.0	47.0	1.0
Cell_175	74.0	47.0	1.0
Cell_176	74.0	49.0	1.0
Cell_177	72.0	45.0	1.0
Cell_178	74.0	45.0	1.0
Cell_179	72.0	47.0	1.0
Cell_180	73.0	47.0	1.0
Cell_181	77.0	47.0	1.0
Cell_182	78.0	51.0	1.0
Cell_183	78.0	45.0	1.0
Cell_184	78.0	40.0	1.0
Cell_185	79.0	45.0	1.0
Cell_186	79.0	44.0	1.0
Cell_187	79.0	46.0	1.0
Cell_188	81.0	46.0	1.0
Cell_189	81.0	47.0	1.0
Cell_190	84.0	46.0	1.0
Cell_191	83.0	46.0	1.0
Cell_192	85.0	46.0	1.0
Cell_193	80.0	45.0	1.0
Cell_194	80.0	43.0	1.0
Cell_195	82.0	45.0	1.0
Cell_196	84.0	45.0	1.0
Cell_197	78.0	47.0	1.0
Cell_198	80.0	49.0	1.0
Cell_199	82.0	47.0	1.0
Cell_200	82.0	48.0	1.0
Cell_201	76.0	47.0	1.0
Cell_202	75.0	47.0	1.0
Cell_203	71.0	45.0	1.0
Cell_204	71.0	43.0	1.0
Cell_205	73.0	45.0	1.0
Cell_206	75.0	45.0	1.0
Cell_207	73.0	44.0	1.0
Cell_208	73.0	46.0	1.0
Cell_209	74.0	44.0	1.0
Cell_210	74.0	42.0	1.0
Cell_211	77.0	45.0	1.0
Cell_212	70.0	45.0	1.0
Cell_213	75.0	43.0	1.0
Cell_214	75.0	42.0	1.0
Cell_215	75.0	39.0	1.0
Cell_216	76.0	39.0	1.0
Cell_217	77.0	41.0	1.0
Cell_218	79.0	41.0	1.0
Cell_219	81.0	41.0	1.0
Cell_220	74.0	43.0	1.0
Cell_221	72.0	43.0	1.0
Cell_222	74.0	41.0	1.0
Cell_223	75.0	41.0	1.0
Cell_224	69.0	45.0	1.0
Cell_225	68.0	48.0	1.0
Cell_226	67.0	50.0	1.0
Cell_227	67.0	51.0	1.0
Cell_228	71.0	54.0	1.0
Cell_229	61.0	40.0	5.0
Cell_230	61.0	37.0	5.0
Cell_231	61.0	33.0	5.0
Cell_232	63.0	33.0	5.0
Cell_233	61.0	31.0	5.0
Cell_234	61.0	29.0	5.0
Cell_235	59.0	30.0	5.0
Cell_236	61.0	34.0	5.0
Cell_237	63.0	31.0	5.0
Cell_238	63.0	32.0	5.0
Cell_239	63.0	34.0	5.0
Cell_240	61.0	32.0	5.0
Cell_241	61.0	28.0	5.0
Cell_242	61.0	27.0	5.0
Cell_243	60.0	30.0	5.0
Cell_244	59.0	32.0	5.0
Cell_245	58.0	32.0	5.0
Cell_246	60.0	31.0	5.0
Cell_247	60.0	32.0	5.0
Cell_248	62.0	29.0	5.0
Cell_249	60.0	28.0	5.0
Cell_250	62.0	28.0	5.0
Cell_251	60.0	25.0	5.0
Cell_252	60.0	27.0	5.0
Cell_253	61.0	23.0	5.0
Cell_254	61.0	24.0	5.0
Cell_255	61.0	22.0	5.0
Cell_256	61.0	20.0	5.0
Cell_257	61.0	38.0	5.0
Cell_258	63.0	38.0	5.0
Cell_259	65.0	38.0	5.0
Cell_260	62.0	40.0	5.0
Cell_261	64.0	40.0	5.0
Cell_262	66.0	36.0	5.0
Cell_263	68.0	35.0	5.0
Cell_264	64.0	35.0	5.0
Cell_265	64.0	33.0	5.0
Cell_266	64.0	31.0	5.0
Cell_267	64.0	29.0	5.0
Cell_268	66.0	39.0	5.0
Cell_269	66.0	31.0	5.0
Cell_270	68.0	31.0	5.0
Cell_271	66.0	28.0	5.0
Cell_272	63.0	36.0	5.0
Cell_273	64.0	36.0	5.0
Cell_274	62.0	33.0	5.0
Cell_275	60.0	33.0	5.0
Cell_276	62.0	31.0	5.0
Cell_277	66.0	38.0	5.0
Cell_278	68.0	38.0	5.0
Cell_279	58.0	25.0	5.0
Cell_280	58.0	23.0	5.0
Cell_281	58.0	27.0	5.0
Cell_282	58.0	24.0	5.0
Cell_283	60.0	21.0	5.0
Cell_284	54.0	25.0	5.0
Cell_285	55.0	25.0	5.0
Cell_286	54.0	23.0	5.0
Cell_287	60.0	24.0	5.0
Cell_288	60.0	23.0	5.0
Cell_289	59.0	23.0	5.0
Cell_290	60.0	22.0	5.0
Cell_291	62.0	22.0	5.0
Cell_292	59.0	22.0	5.0
Cell_293	59.0	21.0	5.0
Cell_294	58.0	20.0	5.0
Cell_295	60.0	18.0	5.0
Cell_296	60.0	17.0	5.0
Cell_297	58.0	22.0	5.0
Cell_298	58.0	21.0	5.0
Cell_299	58.0	19.0	5.0
Cell_300	57.0	21.0	5.0
Cell_301	55.0	19.0	5.0
Cell_302	57.0	24.0	5.0
Cell_303	57.0	23.0	5.0
Cell_304	56.0	23.0	5.0
Cell_305	56.0	24.0	5.0
Cell_306	55.0	24.0	5.0
Cell_307	58.0	29.0	5.0
Cell_308	60.0	29.0	5.0
Cell_309	59.0	28.0	5.0
Cell_310	56.0	25.0	5.0
Cell_311	56.0	26.0	5.0
Cell_312	57.0	25.0	5.0
Cell_313	59.0	25.0	5.0
Cell_314	55.0	21.0	5.0
Cell_315	57.0	20.0	5.0
Cell_316	56.0	21.0	5.0
Cell_317	57.0	19.0	5.0
Cell_318	57.0	18.0	5.0
Cell_319	53.0	24.0	5.0
Cell_320	52.0	24.0	5.0
Cell_321	53.0	25.0	5.0
Cell_322	55.0	23.0	5.0
Cell_323	53.0	22.0	5.0
Cell_324	54.0	18.0	5.0
Cell_325	56.0	20.0	5.0
Cell_326	55.0	18.0	5.0
Cell_327	56.0	17.0	5.0
Cell_328	62.0	39.0	5.0
Cell_329	64.0	37.0	5.0
Cell_330	66.0	37.0	5.0
Cell_331	64.0	39.0	5.0
Cell_332	64.0	38.0	5.0
Cell_333	65.0	39.0	5.0
Cell_334	65.0	37.0	5.0
Cell_335	65.0	33.0	5.0
Cell_336	67.0	35.0	5.0
Cell_337	67.0	37.0	5.0
Cell_338	65.0	41.0	5.0
Cell_339	67.0	39.0	5.0
Cell_340	69.0	38.0	5.0
Cell_341	69.0	36.0	5.0
Cell_342	68.0	32.0	5.0
Cell_343	70.0	33.0	5.0
Cell_344	68.0	33.0	5.0
Cell_345	69.0	33.0	5.0
Cell_346	69.0	31.0	5.0
Cell_347	68.0	30.0	5.0
Cell_348	68.0	29.0	5.0
Cell_349	63.0	39.0	5.0
Cell_350	63.0	37.0	5.0
Cell_351	62.0	37.0	5.0
Cell_352	62.0	35.0	5.0
Cell_353	57.0	37.0	5.0
Cell_354	57.0	39.0	5.0
Cell_355	56.0	35.0	5.0
Cell_356	56.0	32.0	5.0
Cell_357	56.0	27.0	5.0
Cell_358	54.0	37.0	5.0
Cell_359	56.0	34.0	5.0
Cell_360	60.0	35.0	5.0
Cell_361	58.0	33.0	5.0
Cell_362	58.0	34.0	5.0
Cell_363	59.0	35.0	5.0
Cell_364	61.0	35.0	5.0
Cell_365	56.0	36.0	5.0
Cell_366	59.0	39.0	5.0
Cell_367	61.0	39.0	5.0
Cell_368	59.0	38.0	5.0
Cell_369	59.0	36.0	5.0
Cell_370	60.0	34.0	5.0
Cell_371	58.0	31.0	5.0
Cell_372	59.0	31.0	5.0
Cell_373	59.0	33.0	5.0
Cell_374	59.0	37.0	5.0
Cell_375	62.0	36.0	5.0
Cell_376	60.0	37.0	5.0
Cell_377	67.0	34.0	5.0
Cell_378	67.0	36.0	5.0
Cell_379	64.0	34.0	5.0
Cell_380	61.0	41.0	5.0
Cell_381	62.0	41.0	5.0
Cell_382	60.0	39.0	5.0
Cell_383	58.0	41.0	5.0
Cell_384	60.0	41.0	5.0
Cell_385	59.0	41.0	5.0
Cell_386	63.0	41.0	5.0
Cell_387	63.0	40.0	5.0
Cell_388	65.0	42.0	5.0
Cell_389	65.0	40.0	5.0
Cell_390	70.0	40.0	5.0
Cell_391	70.0	39.0	5.0
Cell_392	70.0	36.0	5.0
Cell_393	73.0	38.0	5.0
Cell_394	71.0	36.0	5.0
Cell_395	71.0	38.0	5.0
Cell_396	71.0	40.0	5.0
Cell_397	68.0	40.0	5.0
Cell_398	66.0	40.0	5.0
Cell_399	67.0	40.0	5.0
Cell_400	62.0	42.0	5.0
Cell_401	66.0	41.0	5.0
Cell_402	65.0	36.0	5.0
Cell_403	65.0	34.0	5.0
Cell_404	68.0	36.0	5.0
Cell_405	71.0	37.0	5.0
Cell_406	69.0	37.0	5.0
Cell_407	69.0	35.0	5.0
Cell_408	69.0	34.0	5.0
Cell_409	67.0	38.0	5.0
Cell_410	64.0	42.0	5.0
Cell_411	69.0	39.0	5.0
Cell_412	71.0	39.0	5.0
Cell_413	68.0	37.0	5.0
Cell_414	72.0	39.0	5.0
Cell_415	72.0	38.0	5.0
Cell_416	74.0	39.0	5.0
Cell_417	74.0	38.0	5.0
Cell_418	70.0	35.0	5.0
Cell_419	60.0	42.0	5.0
Cell_420	60.0	40.0	5.0
Cell_421	58.0	40.0	5.0
Cell_422	59.0	42.0	4.0
Cell_423	59.0	40.0	4.0
Cell_424	59.0	43.0	4.0
Cell_425	54.0	41.0	4.0
Cell_426	54.0	29.0	4.0
Cell_427	52.0	34.0	4.0
Cell_428	52.0	30.0	4.0
Cell_429	52.0	29.0	4.0
Cell_430	53.0	27.0	4.0
Cell_431	53.0	29.0	4.0
Cell_432	54.0	31.0	4.0
Cell_433	52.0	33.0	4.0
Cell_434	52.0	31.0	4.0
Cell_435	54.0	36.0	4.0
Cell_436	54.0	43.0	4.0
Cell_437	62.0	53.0	1.0
Cell_438	63.0	52.0	1.0
Cell_439	64.0	48.0	1.0
Cell_440	68.0	52.0	1.0
Cell_441	70.0	52.0	1.0
Cell_442	71.0	52.0	1.0
Cell_443	73.0	52.0	1.0
Cell_444	75.0	52.0	1.0
Cell_445	67.0	52.0	1.0
Cell_446	69.0	53.0	1.0
Cell_447	71.0	55.0	1.0
Cell_448	70.0	55.0	1.0
Cell_449	65.0	50.0	1.0
Cell_450	65.0	49.0	1.0
Cell_451	67.0	49.0	1.0
Cell_452	68.0	49.0	1.0
Cell_453	62.0	50.0	1.0
Cell_454	63.0	51.0	1.0
Cell_455	61.0	48.0	1.0
Cell_456	61.0	53.0	1.0
Cell_457	61.0	52.0	1.0
Cell_458	61.0	50.0	1.0
Cell_459	65.0	52.0	1.0
Cell_460	61.0	54.0	1.0
Cell_461	62.0	57.0	1.0
Cell_462	63.0	57.0	1.0
Cell_463	64.0	55.0	1.0
Cell_464	64.0	53.0	2.0
Cell_465	66.0	51.0	2.0
Cell_466	68.0	51.0	2.0
Cell_467	68.0	53.0	2.0
Cell_468	74.0	55.0	2.0
Cell_469	72.0	55.0	2.0
Cell_470	73.0	55.0	2.0
Cell_471	74.0	57.0	2.0
Cell_472	74.0	59.0	2.0
Cell_473	73.0	59.0	2.0
Cell_474	74.0	60.0	2.0
Cell_475	74.0	62.0	2.0
Cell_476	66.0	54.0	2.0
Cell_477	66.0	52.0	2.0
Cell_478	60.0	53.0	1.0
Cell_479	56.0	48.0	1.0
Cell_480	56.0	47.0	1.0
Cell_481	57.0	48.0	1.0
Cell_482	57.0	47.0	1.0
Cell_483	55.0	47.0	1.0
Cell_484	61.0	43.0	1.0
Cell_485	61.0	44.0	1.0
Cell_486	65.0	45.0	1.0
Cell_487	66.0	44.0	1.0
Cell_488	70.0	43.0	1.0
Cell_489	68.0	44.0	1.0
Cell_490	69.0	44.0	1.0
Cell_491	75.0	38.0	1.0
Cell_492	75.0	36.0	1.0
Cell_493	77.0	38.0	1.0
Cell_494	84.0	42.0	1.0
Cell_495	64.0	45.0	1.0
Cell_496	66.0	45.0	1.0
Cell_497	72.0	42.0	1.0
Cell_498	67.0	42.0	1.0
Cell_499	68.0	42.0	1.0
Cell_500	66.0	42.0	1.0
Cell_501	73.0	41.0	1.0
Cell_502	60.0	46.0	1.0
Cell_503	60.0	44.0	1.0
Cell_504	58.0	47.0	1.0
Cell_505	60.0	47.0	1.0
Cell_506	71.0	49.0	1.0
Cell_507	71.0	51.0	1.0
Cell_508	71.0	48.0	1.0
Cell_509	72.0	50.0	1.0
Cell_510	71.0	53.0	1.0
Cell_511	72.0	54.0	1.0
Cell_512	74.0	54.0	1.0
Cell_513	72.0	52.0	1.0
Cell_514	72.0	53.0	1.0
Cell_515	74.0	53.0	1.0
Cell_516	74.0	52.0	1.0
Cell_517	76.0	49.0	1.0
Cell_518	79.0	49.0	1.0
Cell_519	81.0	49.0	1.0
Cell_520	82.0	49.0	1.0
Cell_521	83.0	49.0	1.0
Cell_522	78.0	49.0	1.0
Cell_523	77.0	51.0	1.0
Cell_524	75.0	51.0	1.0
Cell_525	77.0	54.0	1.0
Cell_526	77.0	56.0	1.0
Cell_527	76.0	52.0	1.0
Cell_528	78.0	54.0	1.0
Cell_529	82.0	54.0	1.0
Cell_530	81.0	54.0	1.0
Cell_531	83.0	54.0	1.0
Cell_532	72.0	49.0	1.0
Cell_533	70.0	49.0	1.0
Cell_534	73.0	48.0	1.0
Cell_535	72.0	48.0	1.0
Cell_536	72.0	46.0	1.0
Cell_537	75.0	50.0	1.0
Cell_538	78.0	48.0	1.0
Cell_539	79.0	47.0	1.0
Cell_540	80.0	47.0	1.0
Cell_541	78.0	50.0	1.0
Cell_542	73.0	49.0	1.0
Cell_543	73.0	50.0	1.0
Cell_544	77.0	52.0	1.0
Cell_545	75.0	48.0	1.0
Cell_546	74.0	48.0	1.0
Cell_547	76.0	48.0	1.0
Cell_548	80.0	52.0	8.0
Cell_549	79.0	51.0	8.0
Cell_550	79.0	50.0	8.0
Cell_551	81.0	50.0	8.0
Cell_552	80.0	53.0	8.0
Cell_553	82.0	51.0	8.0
Cell_554	84.0	51.0	8.0
Cell_555	74.0	46.0	1.0
Cell_556	76.0	50.0	1.0
Cell_557	77.0	50.0	1.0
Cell_558	76.0	53.0	1.0
Cell_559	75.0	56.0	1.0
Cell_560	75.0	53.0	1.0
Cell_561	77.0	55.0	1.0
Cell_562	75.0	54.0	1.0
Cell_563	74.0	50.0	1.0
Cell_564	76.0	51.0	1.0
Cell_565	64.0	51.0	1.0
Cell_566	70.0	51.0	1.0
Cell_567	72.0	51.0	1.0
Cell_568	74.0	51.0	1.0
Cell_569	73.0	51.0	1.0
Cell_570	65.0	51.0	1.0
Cell_571	65.0	53.0	1.0
Cell_572	66.0	53.0	1.0
Cell_573	69.0	50.0	1.0
Cell_574	67.0	55.0	1.0
Cell_575	68.0	55.0	1.0
Cell_576	69.0	51.0	1.0
Cell_577	66.0	55.0	1.0
Cell_578	66.0	56.0	1.0
Cell_579	70.0	56.0	1.0
Cell_580	72.0	58.0	1.0
Cell_581	74.0	58.0	1.0
Cell_582	72.0	56.0	1.0
Cell_583	74.0	56.0	1.0
Cell_584	79.0	55.0	1.0
Cell_585	80.0	55.0	1.0
Cell_586	75.0	55.0	1.0
Cell_587	75.0	57.0	1.0
Cell_588	77.0	57.0	1.0
Cell_589	76.0	55.0	1.0
Cell_590	76.0	56.0	1.0
Cell_591	76.0	60.0	1.0
Cell_592	77.0	58.0	1.0
Cell_593	70.0	53.0	1.0
Cell_594	70.0	54.0	1.0
Cell_595	73.0	53.0	1.0
Cell_596	77.0	53.0	1.0
Cell_597	78.0	55.0	1.0
Cell_598	78.0	56.0	1.0
Cell_599	78.0	58.0	1.0
Cell_600	83.0	53.0	1.0
Cell_601	54.0	47.0	1.0
Cell_602	52.0	47.0	1.0
Cell_603	55.0	48.0	1.0
Cell_604	55.0	49.0	1.0
Cell_605	54.0	46.0	1.0
Cell_606	54.0	42.0	1.0
Cell_607	58.0	44.0	1.0
Cell_608	59.0	44.0	1.0
Cell_609	63.0	42.0	1.0
Cell_610	58.0	43.0	1.0
Cell_611	60.0	43.0	1.0
Cell_612	57.0	41.0	1.0
Cell_613	62.0	38.0	1.0
Cell_614	60.0	38.0	1.0
Cell_615	62.0	34.0	1.0
Cell_616	68.0	34.0	1.0
Cell_617	66.0	34.0	1.0
Cell_618	64.0	30.0	1.0
Cell_619	63.0	28.0	1.0
Cell_620	65.0	32.0	1.0
Cell_621	66.0	32.0	1.0
Cell_622	67.0	32.0	1.0
Cell_623	62.0	32.0	1.0
Cell_624	61.0	36.0	1.0
Cell_625	63.0	35.0	1.0
Cell_626	58.0	36.0	1.0
Cell_627	57.0	36.0	1.0
Cell_628	57.0	34.0	1.0
Cell_629	59.0	34.0	1.0
Cell_630	57.0	38.0	1.0
Cell_631	56.0	44.0	1.0
Cell_632	58.0	45.0	1.0
Cell_633	60.0	45.0	1.0
Cell_634	62.0	45.0	1.0
Cell_635	62.0	43.0	1.0
Cell_636	64.0	43.0	1.0
Cell_637	59.0	47.0	1.0
Cell_638	59.0	45.0	1.0
Cell_639	61.0	45.0	1.0
Cell_640	63.0	47.0	2.0
Cell_641	61.0	46.0	2.0
Cell_642	62.0	46.0	1.0
Cell_643	51.0	49.0	1.0
Cell_644	49.0	49.0	1.0
Cell_645	49.0	53.0	1.0
Cell_646	53.0	55.0	1.0
Cell_647	53.0	58.0	1.0
Cell_648	54.0	55.0	1.0
Cell_649	52.0	55.0	1.0
Cell_650	47.0	51.0	1.0
Cell_651	49.0	51.0	1.0
Cell_652	49.0	47.0	1.0
Cell_653	50.0	47.0	1.0
Cell_654	50.0	46.0	1.0
Cell_655	47.0	48.0	1.0
Cell_656	55.0	50.0	1.0
Cell_657	54.0	51.0	1.0
Cell_658	57.0	49.0	1.0
Cell_659	57.0	51.0	1.0
Cell_660	58.0	51.0	1.0
Cell_661	60.0	51.0	1.0
Cell_662	53.0	57.0	1.0
Cell_663	51.0	58.0	1.0
Cell_664	51.0	57.0	1.0
Cell_665	51.0	55.0	1.0
Cell_666	51.0	56.0	1.0
Cell_667	50.0	54.0	1.0
Cell_668	51.0	53.0	7.0
Cell_669	51.0	45.0	7.0
Cell_670	50.0	42.0	7.0
Cell_671	49.0	41.0	7.0
Cell_672	49.0	39.0	7.0
Cell_673	47.0	38.0	7.0
Cell_674	49.0	38.0	7.0
Cell_675	49.0	36.0	7.0
Cell_676	49.0	40.0	7.0
Cell_677	50.0	45.0	7.0
Cell_678	52.0	43.0	7.0
Cell_679	52.0	41.0	7.0
Cell_680	50.0	43.0	7.0
Cell_681	48.0	41.0	7.0
Cell_682	48.0	39.0	7.0
Cell_683	47.0	39.0	7.0
Cell_684	48.0	38.0	7.0
Cell_685	48.0	36.0	7.0
Cell_686	50.0	35.0	7.0
Cell_687	48.0	34.0	7.0
Cell_688	46.0	29.0	7.0
Cell_689	48.0	28.0	7.0
Cell_690	45.0	25.0	7.0
Cell_691	43.0	25.0	7.0
Cell_692	46.0	27.0	7.0
Cell_693	47.0	29.0	7.0
Cell_694	47.0	28.0	7.0
Cell_695	45.0	28.0	7.0
Cell_696	48.0	30.0	7.0
Cell_697	49.0	30.0	7.0
Cell_698	43.0	29.0	7.0
Cell_699	43.0	28.0	7.0
Cell_700	43.0	27.0	7.0
Cell_701	45.0	27.0	7.0
Cell_702	42.0	26.0	7.0
Cell_703	44.0	26.0	7.0
Cell_704	43.0	26.0	7.0
Cell_705	40.0	27.0	7.0
Cell_706	37.0	27.0	7.0
Cell_707	50.0	36.0	7.0
Cell_708	48.0	37.0	7.0
Cell_709	49.0	37.0	7.0
Cell_710	49.0	26.0	7.0
Cell_711	50.0	26.0	7.0
Cell_712	50.0	24.0	7.0
Cell_713	50.0	22.0	7.0
Cell_714	48.0	32.0	7.0
Cell_715	46.0	31.0	7.0
Cell_716	45.0	31.0	7.0
Cell_717	44.0	33.0	7.0
Cell_718	48.0	29.0	7.0
Cell_719	48.0	26.0	7.0
Cell_720	47.0	26.0	7.0
Cell_721	50.0	25.0	7.0
Cell_722	47.0	27.0	7.0
Cell_723	47.0	25.0	7.0
Cell_724	48.0	25.0	7.0
Cell_725	46.0	25.0	7.0
Cell_726	47.0	23.0	7.0
Cell_727	48.0	23.0	7.0
Cell_728	50.0	23.0	7.0
Cell_729	50.0	21.0	7.0
Cell_730	51.0	23.0	7.0
Cell_731	52.0	23.0	7.0
Cell_732	53.0	23.0	7.0
Cell_733	47.0	33.0	7.0
Cell_734	48.0	27.0	7.0
Cell_735	48.0	17.0	7.0
Cell_736	51.0	37.0	7.0
Cell_737	53.0	36.0	7.0
Cell_738	51.0	27.0	7.0
Cell_739	50.0	28.0	7.0
Cell_740	52.0	27.0	7.0
Cell_741	52.0	26.0	7.0
Cell_742	54.0	27.0	7.0
Cell_743	55.0	27.0	7.0
Cell_744	54.0	26.0	7.0
Cell_745	52.0	25.0	7.0
Cell_746	51.0	28.0	7.0
Cell_747	53.0	28.0	7.0
Cell_748	53.0	26.0	7.0
Cell_749	52.0	28.0	7.0
Cell_750	54.0	28.0	7.0
Cell_751	51.0	24.0	7.0
Cell_752	51.0	25.0	7.0
Cell_753	56.0	29.0	7.0
Cell_754	51.0	29.0	7.0
Cell_755	57.0	29.0	7.0
Cell_756	58.0	28.0	7.0
Cell_757	59.0	29.0	7.0
Cell_758	59.0	26.0	7.0
Cell_759	54.0	24.0	7.0
Cell_760	54.0	33.0	7.0
Cell_761	55.0	33.0	7.0
Cell_762	50.0	34.0	7.0
Cell_763	51.0	34.0	7.0
Cell_764	51.0	33.0	7.0
Cell_765	50.0	33.0	7.0
Cell_766	52.0	36.0	7.0
Cell_767	53.0	35.0	7.0
Cell_768	52.0	35.0	7.0
Cell_769	53.0	34.0	7.0
Cell_770	54.0	34.0	7.0
Cell_771	55.0	31.0	7.0
Cell_772	56.0	30.0	7.0
Cell_773	58.0	30.0	7.0
Cell_774	53.0	38.0	7.0
Cell_775	55.0	38.0	7.0
